时间/h,药材半径/cm
38.38333333,1.20000000
38.40000000,1.20000000
38.41666667,1.20000000
38.43333333,1.20000000
38.45000000,1.20000000
38.46666667,1.20000000
38.48333333,1.20000000
38.50000000,1.20000000
38.51666667,1.20000000
38.53333333,1.20000000
38.55000000,1.20000000
38.56666667,1.20000000
38.58333333,1.20000000
38.60000000,1.20000000
38.61666667,1.20000000
38.63333333,1.20000000
38.65000000,1.20000000
38.66666667,1.20000000
38.68333333,1.20000000
38.70000000,1.20000000
38.71666667,1.20000000
38.73333333,1.20000000
38.75000000,1.20000000
38.76666667,1.20000000
38.78333333,1.20000000
38.80000000,1.20000000
38.81666667,1.20000000
38.83333333,1.20000000
38.85000000,1.20000000
38.86666667,1.20000000
38.88333333,1.20000000
38.90000000,1.20000000
38.91666667,1.20000000
38.93333333,1.20000000
38.95000000,1.20000000
38.96666667,1.20000000
38.98333333,1.20000000
39.00000000,1.20000000
39.01666667,1.20000000
39.03333333,1.20000000
39.05000000,1.20000000
39.06666667,1.20000000
39.08333333,1.20000000
39.10000000,1.20000000
39.11666667,1.20000000
39.13333333,1.20000000
39.15000000,1.20000000
39.16666667,1.20000000
39.18333333,1.20000000
39.20000000,1.20000000
39.21666667,1.20000000
39.23333333,1.20000000
39.25000000,1.20000000
39.26666667,1.20000000
39.28333333,1.20000000
39.30000000,1.20000000
39.31666667,1.20000000
39.33333333,1.20000000
39.35000000,1.20000000
39.36666667,1.20000000
39.38333333,1.20000000
39.40000000,1.20000000
39.41666667,1.20000000
39.43333333,1.20000000
39.45000000,1.20000000
39.46666667,1.20000000
39.48333333,1.20000000
39.50000000,1.20000000
39.51666667,1.20000000
39.53333333,1.20000000
39.55000000,1.20000000
39.56666667,1.20000000
39.58333333,1.20000000
39.60000000,1.20000000
39.61666667,1.20000000
39.63333333,1.20000000
39.65000000,1.20000000
39.66666667,1.20000000
39.68333333,1.20000000
39.70000000,1.20000000
39.71666667,1.20000000
39.73333333,1.20000000
39.75000000,1.20000000
39.76666667,1.20000000
39.78333333,1.20000000
39.80000000,1.20000000
39.81666667,1.20000000
39.83333333,1.20000000
39.85000000,1.20000000
39.86666667,1.20000000
39.88333333,1.20000000
39.90000000,1.20000000
39.91666667,1.20000000
39.93333333,1.20000000
39.95000000,1.20000000
39.96666667,1.20000000
39.98333333,1.20000000
40.00000000,1.20000000
40.01666667,1.20000000
40.03333333,1.20000000
40.05000000,1.20000000
40.06666667,1.20000000
40.08333333,1.20000000
40.10000000,1.20000000
40.11666667,1.20000000
40.13333333,1.20000000
40.15000000,1.20000000
40.16666667,1.20000000
40.18333333,1.20000000
40.20000000,1.20000000
40.21666667,1.20000000
40.23333333,1.20000000
40.25000000,1.20000000
40.26666667,1.20000000
40.28333333,1.20000000
40.30000000,1.20000000
40.31666667,1.20000000
40.33333333,1.20000000
40.35000000,1.20000000
40.36666667,1.20000000
40.38333333,1.20000000
40.40000000,1.20000000
40.41666667,1.20000000
40.43333333,1.20000000
40.45000000,1.20000000
40.46666667,1.20000000
40.48333333,1.20000000
40.50000000,1.20000000
40.51666667,1.20000000
40.53333333,1.20000000
40.55000000,1.20000000
40.56666667,1.20000000
40.58333333,1.20000000
40.60000000,1.20000000
40.61666667,1.20000000
40.63333333,1.20000000
40.65000000,1.20000000
40.66666667,1.20000000
40.68333333,1.20000000
40.70000000,1.20000000
40.71666667,1.20000000
40.73333333,1.20000000
40.75000000,1.20000000
40.76666667,1.20000000
40.78333333,1.20000000
40.80000000,1.20000000
40.81666667,1.20000000
40.83333333,1.20000000
40.85000000,1.20000000
40.86666667,1.20000000
40.88333333,1.20000000
40.90000000,1.20000000
40.91666667,1.20000000
40.93333333,1.20000000
40.95000000,1.20000000
